Taxa	PH
G1	96.7614
G2	70.5672
G3	77.16486
G4	79.22446
G5	71.78375
G7	88.70248
G8	80.94017
G9	83.62289
G12	72.07131
G13	70.98379
G15	81.91401
G17	78.18191
G18	80.49193
G19	83.05631
G21	75.67244
G22	77.03305
G24	72.34495
G25	80.10286
G26	66.19045
G27	71.85276
G28	82.69401
G30	82.21894
G33	84.09275
G34	71.97552
G35	67.41253
G36	78.57061
G37	67.49277
G38	78.68969
G39	76.21657
G40	77.46054
G41	85.07046
G42	79.79654
G43	72.75887
G44	72.98478
G45	83.08353
G46	64.87374
G47	78.34266
G50	60.07742
G51	81.60772
G52	76.3526
G53	78.97171
G54	82.23124
G55	74.23421
G56	82.05536
G57	86.76265
G59	67.84592
G60	80.35935
G61	76.94805
G62	72.35303
G63	71.93577
G64	71.98235
G65	62.06222
G66	91.77017
G67	73.01693
G68	67.49241
G69	69.41249
G70	59.37263
G71	71.81118
G72	56.96547
G73	58.97089
G74	66.57495
G75	62.16459
G76	57.14193
G77	58.44388
G80	61.85754
G81	62.73697
G82	64.43931
G83	61.4964
G84	63.94314
G86	87.79332
G88	63.56425
G89	66.56179
G90	67.24057
G92	56.00279
G93	65.61955
G94	91.13623
G96	56.75491
G97	64.31066
G99	87.04729
G100	79.60043
G101	67.15504
G102	83.81073
G103	90.31455
G104	78.03686
G105	72.06586
G106	79.27103
G108	69.84958
G109	79.10518
G110	75.8546
G111	59.21576
G112	84.96809
G113	82.04167
G114	83.12771
G115	76.69486
G116	67.47244
G117	84.38664
G118	72.24763
G119	78.79709
G121	60.57827
G122	64.76669
G123	70.24044
G125	57.68215
G126	58.94064
G127	70.02925
G128	63.37327
G129	63.30993
G130	63.10994
G131	65.04438
G132	58.80863
G133	63.87843
G134	69.25479
G135	69.43585
G136	64.17132
G137	59.88969
G138	63.40785
G140	62.22264
G141	58.21124
G142	83.2127
G143	84.3182
G144	87.70879
G145	81.8352
G146	71.47135
G147	76.82787
G148	69.71716
G149	73.49087
G150	64.97977
G151	73.75294
G152	74.38167
G153	71.40765
G154	95.92592
G155	75.42082
G156	96.16174
G157	87.20715
G158	87.24167
G159	83.80029
G161	74.90681
G162	80.11124
G163	82.50111
G164	82.97737
G165	74.29566
G166	95.08788
G167	87.68676
G168	98.02806
G169	79.61651
G170	90.50752
G171	72.30809
G172	68.39679
G173	72.22269
G174	87.82996
G175	85.56314
G176	76.12082
G177	88.79844
G179	86.95072
G180	86.9393
G181	73.3271
G182	77.07043
G183	74.30461
G184	72.18975
G186	79.84159
G187	82.08306
G188	66.94433
G190	73.31599
G191	73.06402
G192	70.71885
G194	66.58105
G195	80.05435
G196	69.94142
G198	80.86355
G199	75.12057
G200	71.69528
G201	74.84405
G202	68.47291
G203	77.1509
G204	72.9946
G205	73.9672
G206	79.55627
G207	82.25868
G208	72.24419
G211	69.88727
G212	77.34373
G213	78.86993
G214	63.89596
G215	79.61326
G216	78.70456
G217	71.25202
G218	68.43878
G219	75.07213
G220	70.12959
G221	77.32192
G222	66.90565
G223	70.05851
G224	73.38846
G225	82.3854
G226	71.80123
G231	65.40018
G232	72.25068
G233	70.45697
G234	75.74804
G235	72.48138
G236	88.56594
G237	85.07735
G238	88.7773
G239	74.23728
G240	75.66466
G241	73.31327
G242	67.04308
G243	75.85088
G245	75.94748
G246	79.01279
G247	81.20052
G248	67.19239
G249	80.27751
G250	79.36449
G251	74.83846
G252	81.12819
G253	70.34765
G254	87.18409
G255	84.85636
G256	67.32581
G257	78.71808
G258	60.69858
G259	76.14295
G260	67.60791
G261	77.62947
G262	72.69386
G263	66.24287
G264	64.33266
G265	63.44681
G266	63.77696
G267	60.09392
G268	72.20279
G269	74.56842
G270	70.47775
G271	75.02924
G272	68.50983
G273	67.00453
G274	71.14028
G275	72.693
G276	65.04218
G277	67.21145
G278	76.38595
G279	72.05529
G280	64.02209
G281	67.27209
G282	73.01284
G283	75.70407
G284	88.9437
G285	83.19529
G286	71.24279
G287	76.34287
G288	89.13752
G289	71.48917
G290	88.79267
G291	89.2292
G292	91.04272
G293	91.51257
G295	79.93515
G296	73.76825
G297	76.48498
G298	72.90546
G300	71.29841
G303	62.7619
G305	76.51607
G306	86.19096
G307	66.27712
G308	67.01774
G309	68.7052
G311	67.94329
G312	71.57538
G313	77.18865
G314	90.67234
G315	92.81427
G316	75.3731
G317	74.90506
G318	86.33606
