Taxa	Area
G1	22.72177
G2	23.07877
G3	19.93612
G4	23.32083
G5	19.54859
G7	22.96829
G8	24.15301
G9	22.52751
G12	21.53395
G13	19.26368
G15	17.48008
G17	24.0248
G18	22.31159
G19	22.16574
G21	22.09289
G22	31.1648
G24	23.31557
G25	22.76795
G26	24.30342
G27	26.71765
G28	25.55364
G30	23.78639
G33	21.50603
G34	22.19739
G35	21.7006
G36	24.94855
G37	23.11009
G38	26.7845
G39	20.2729
G40	21.69324
G41	25.39371
G42	22.38259
G43	24.34155
G44	20.60255
G45	26.83013
G46	21.68197
G47	23.70208
G50	21.20548
G51	20.36825
G52	21.05676
G53	19.49794
G54	22.52677
G55	20.84079
G56	20.81844
G57	27.94177
G59	22.56717
G60	22.28642
G61	24.42887
G62	23.66343
G63	23.46048
G64	18.38015
G65	23.85477
G66	24.01184
G67	25.88545
G68	25.37264
G69	21.72851
G70	21.92482
G71	18.35576
G72	23.48201
G73	23.01956
G74	21.75054
G75	22.20819
G76	20.81473
G77	20.64377
G80	23.40869
G81	23.4355
G82	23.11905
G83	23.3449
G84	22.72886
G86	22.96864
G88	23.74322
G89	23.73216
G90	22.7644
G92	25.67942
G93	24.31245
G94	24.81785
G96	21.89628
G97	22.56709
G99	26.11791
G100	22.29833
G101	19.93417
G102	23.92129
G103	25.2111
G104	24.36128
G105	24.06825
G106	25.61894
G108	19.64525
G109	24.34794
G110	28.96363
G111	28.52344
G112	19.95238
G113	26.15121
G114	24.21481
G115	24.04039
G116	20.89212
G117	20.3125
G118	24.97284
G119	20.06586
G121	23.13077
G122	20.91659
G123	21.25745
G125	24.54999
G126	21.86295
G127	22.29944
G128	22.03227
G129	22.01006
G130	24.54955
G131	24.20781
G132	21.98551
G133	20.26776
G134	23.37856
G135	22.23951
G136	21.66202
G137	23.88939
G138	21.29375
G140	22.3628
G141	22.81762
G142	19.55423
G143	18.3469
G144	20.18378
G145	20.38281
G146	21.61163
G147	23.6875
G148	23.50036
G149	21.41569
G150	23.14237
G151	24.30629
G152	24.49588
G153	29.90218
G154	28.27727
G155	22.73793
G156	24.09634
G157	20.84918
G158	23.83787
G159	20.80584
G161	19.76787
G162	22.85653
G163	21.88774
G164	20.38232
G165	21.59656
G166	24.44135
G167	24.13836
G168	25.39961
G169	19.99307
G170	25.55701
G171	18.1033
G172	18.07362
G173	18.98188
G174	22.56185
G175	24.94921
G176	22.56311
G177	27.20277
G179	18.07656
G180	27.30487
G181	25.69306
G182	29.84108
G183	28.66612
G184	26.33494
G186	25.95314
G187	28.70198
G188	21.37451
G190	19.85955
G191	21.43564
G192	23.36046
G194	23.76612
G195	21.00274
G196	20.76239
G198	21.64197
G199	22.95815
G200	21.84498
G201	22.24142
G202	29.00766
G203	18.58091
G204	19.93747
G205	21.7835
G206	21.31375
G207	25.59333
G208	22.49594
G211	28.31159
G212	22.00162
G213	22.76205
G214	22.66022
G215	23.49388
G216	25.42057
G217	22.00663
G218	21.11602
G219	22.68511
G220	23.01147
G221	21.79953
G222	26.62316
G223	25.30052
G224	20.20812
G225	22.83821
G226	24.0162
G231	23.91724
G232	26.21343
G233	24.28866
G234	23.31223
G235	23.44093
G236	24.69329
G237	19.85151
G238	22.04493
G239	20.94633
G240	21.16432
G241	18.63539
G242	21.37174
G243	21.70276
G245	21.2911
G246	21.63308
G247	24.3878
G248	21.22922
G249	19.68853
G250	19.43773
G251	24.08078
G252	22.08283
G253	21.79992
G254	22.87899
G255	28.40349
G256	26.68488
G257	20.01306
G258	20.5718
G259	23.29905
G260	23.96823
G261	25.37573
G262	24.98447
G263	23.79806
G264	24.81622
G265	21.82168
G266	22.92131
G267	23.32122
G268	25.24806
G269	24.80703
G270	24.05777
G271	24.42248
G272	23.91018
G273	20.56283
G274	22.86778
G275	26.05617
G276	27.19841
G277	25.28839
G278	24.43277
G279	23.21165
G280	26.03816
G281	22.72305
G282	26.11562
G283	24.45398
G284	24.18164
G285	22.98508
G286	25.61038
G287	26.6317
G288	26.69294
G289	20.63683
G290	26.40152
G291	23.14703
G292	20.08106
G293	25.37291
G295	23.31748
G296	20.96936
G297	21.00525
G298	21.09422
G300	21.29525
G303	21.70223
G305	19.64234
G306	27.18422
G307	21.69367
G308	23.62506
G309	21.1899
G311	25.42234
G312	19.11717
G313	21.71683
G314	27.26724
G315	23.40745
G316	23.26561
G317	15.57887
G318	23.43454
