"","7H:501447228","7H:501448101","7H:501488408","7H:501592821","7H:501593499","7H:501595182","7H:501888345","7H:501888539","7H:502007427","7H:502395608","7H:502416586","7H:502429280","7H:502432758","7H:502432803","7H:502432958","7H:502433203","7H:502434215","7H:502434766","7H:502434859","7H:502564737","7H:502607641","7H:502609101","7H:502609286","7H:502610429","7H:502610579","7H:502612772","7H:502673873","7H:503025650","7H:503026719","7H:503348881"
"7H:501447228",1,0.267993956003673,0.000608932243215297,0.0146616974921276,0.224719369512251,0.0330006380176896,0.44571623862556,0.434866910693785,0.00476625076651911,0.0332971049945125,0.0356593461799237,0.123677940909395,0.123677940909395,0.123677940909395,0.18637855821289,0.00394917568743797,0.123677940909395,0.0554768656795259,0.150692357514536,0.0854102836151986,0.123677940909395,0.123677940909395,0.0885807770979453,0.115294221379693,0.0885807770979453,0.0873280355448163,0.127081144167259,0.167052566398185,0.127081144167259,0.133697737263918
"7H:501448101",0.267993956003673,1,0.000518192280012867,0.0871331777210648,0.07337933446012,0.249662645774652,0.358607822346485,0.337348963504912,0.00374627533583073,0.111699500818689,0.113469752048479,0.0101588487342843,0.0101588487342843,0.0101588487342843,0.107322676725104,0.0476971482285901,0.0101588487342843,0.00613648752646817,0.108486211649239,0.0131732449768194,0.0101588487342843,0.0101588487342843,0.140103575761835,0.00637920599457258,0.140103575761835,0.134256994587436,0.010736077875453,0.110175426666806,0.010736077875453,0.0670148570005537
"7H:501488408",0.000608932243215297,0.000518192280012867,1,0.00091258222746112,7.19289916993947e-06,0.00512977986900724,0.000149772290646998,4.65420209290158e-05,0.000226898859833229,0.000690880378997236,0.0017131692214755,0.000306372549019608,0.000306372549019608,0.000306372549019608,0.00769223312264919,0.0164362058889937,0.000306372549019608,0.00291385904206884,0.00933230318802863,0.00199142156862745,0.000306372549019608,0.000306372549019608,0.00126843505799899,0.00052944676945097,0.00126843505799899,0.00164807302231237,0.00052944676945097,7.79604279231978e-05,0.00052944676945097,1.43374885499223e-05
"7H:501592821",0.0146616974921276,0.0871331777210648,0.00091258222746112,1,0.44676535653673,0.0009996554046818,0.0025134159919514,0.00187977340848332,0.426510779785214,0.553893432552279,0.52798866452542,0.287662500897795,0.287662500897795,0.287662500897795,0.290550261228167,0.433700210810135,0.287662500897795,0.368435395115417,0.322242451524093,0.326910991220946,0.287662500897795,0.287662500897795,0.360442464044211,0.277767571028574,0.360442464044211,0.367812162612444,0.277767571028574,0.279743730313637,0.277767571028574,0.297367566056682
"7H:501593499",0.224719369512251,0.07337933446012,7.19289916993947e-06,0.44676535653673,1,0.0601138340350325,0.202842859636533,0.199367079018409,0.424633247959254,0.26595897415977,0.251864772190603,0.52507744354773,0.52507744354773,0.52507744354773,0.113255609948477,0.346076731646139,0.52507744354773,0.415788943681114,0.129156216176624,0.466923551147231,0.52507744354773,0.52507744354773,0.127741175147956,0.512819342655536,0.127741175147956,0.131197565052904,0.512819342655536,0.090430979117746,0.512819342655536,0.0982352615377585
"7H:501595182",0.0330006380176896,0.249662645774652,0.00512977986900724,0.0009996554046818,0.0601138340350325,1,0.292697986176546,0.297820396439815,0.0385514865976415,0.0128314193825009,0.0137147856153667,0.00167053959110646,0.00167053959110646,0.00167053959110646,0.00750415562595358,0.0128660440665271,0.00167053959110646,0.00459020835262787,0.00769937286356013,0.0029709904112601,0.00167053959110646,0.00167053959110646,0.0175397657650628,0.00190401749153605,0.0175397657650628,0.0152640565583845,0.00190401749153605,0.00815358141876123,0.00190401749153605,0.000102961652098337
"7H:501888345",0.44571623862556,0.358607822346485,0.000149772290646998,0.0025134159919514,0.202842859636533,0.292697986176546,1,0.984616163583748,0.000606917273103997,0.0711193437108848,0.0765251996244474,0.0691704910990266,0.0691704910990266,0.0691704910990266,0.0357738408260207,0.00490348629153615,0.0691704910990266,0.017952262442316,0.0417190118398394,0.0808829159503412,0.0691704910990266,0.0691704910990266,0.0129740738878523,0.0622880943387823,0.0129740738878523,0.0122626620867418,0.071452478349474,0.0580634780919912,0.071452478349474,0.037295774705439
"7H:501888539",0.434866910693785,0.337348963504912,4.65420209290158e-05,0.00187977340848332,0.199367079018409,0.297820396439815,0.984616163583748,1,0.000310301333525375,0.0763106101256779,0.0820364569975031,0.0670956367165659,0.0670956367165659,0.0670956367165659,0.0335768223798077,0.00648747984475663,0.0670956367165659,0.0166724542077955,0.0392649132683899,0.0785533842469627,0.0670956367165659,0.0670956367165659,0.0114092362329265,0.0693276206415232,0.0114092362329265,0.0107291394970932,0.0693276206415232,0.0551965960775402,0.0693276206415232,0.0348879140137594
"7H:502007427",0.00476625076651911,0.00374627533583073,0.000226898859833229,0.426510779785214,0.424633247959254,0.0385514865976415,0.000606917273103997,0.000310301333525375,1,0.650389071330459,0.645252837977296,0.405094824815172,0.405094824815172,0.405094824815172,0.130810565133895,0.285057235537659,0.405094824815172,0.294984772233683,0.142409131490731,0.447482413520263,0.405094824815172,0.405094824815172,0.237524536812464,0.392621268948293,0.237524536812464,0.229442331352683,0.392621268948293,0.331735664760782,0.392621268948293,0.292587262341292
"7H:502395608",0.0332971049945125,0.111699500818689,0.000690880378997236,0.553893432552279,0.26595897415977,0.0128314193825009,0.0711193437108848,0.0763106101256779,0.650389071330459,1,0.956923558897243,0.281275522886261,0.281275522886261,0.281275522886261,0.273268895956734,0.444062920301932,0.281275522886261,0.340453713570675,0.312900379583821,0.310101873021336,0.281275522886261,0.281275522886261,0.450493110774246,0.26970679328925,0.450493110774246,0.460801226596182,0.26970679328925,0.575531310834174,0.26970679328925,0.518464126513864
"7H:502416586",0.0356593461799237,0.113469752048479,0.0017131692214755,0.52798866452542,0.251864772190603,0.0137147856153667,0.0765251996244474,0.0820364569975031,0.645252837977296,0.956923558897243,1,0.303453947368421,0.303453947368421,0.303453947368421,0.293645843587725,0.463776365327794,0.303453947368421,0.362015235457064,0.318628411046977,0.331983805668016,0.303453947368421,0.303453947368421,0.480540273285565,0.291129660333512,0.480540273285565,0.471095322167099,0.291129660333512,0.584164794984614,0.291129660333512,0.537934543473468
"7H:502429280",0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625,1,1,0.331335616438356,0.981907894736842,0.331335616438356,0.336206896551724,0.981907894736842,0.277689873417722,0.981907894736842,0.223223313021891
"7H:502432758",0.123677940909395,0.0101588487342843,0.000306372549019608,0.287662500897795,0.52507744354773,0.00167053959110646,0.0691704910990266,0.0670956367165659,0.405094824815172,0.281275522886261,0.303453947368421,1,1,1,0.253810975609756,0.62621359223301,1,0.838235294117647,0.273584905660377,0.9140625,1,1,0.331335616438356,0.981907894736842,0.331335616438356,0.336206896551724,0.981907894736842,0.277689873417722,0.981907894736842,0.223223313021891
