"","7H:500749700","7H:500751207","7H:500831343","7H:500832046","7H:500832834","7H:500956884","7H:500959217","7H:501035530","7H:501169699","7H:501447228","7H:501448101","7H:501488408","7H:501592821","7H:501593499","7H:501595182","7H:501888345","7H:501888539","7H:502007427","7H:502395608","7H:502416586","7H:502429280","7H:502432758","7H:502432803","7H:502432958","7H:502433203","7H:502434215","7H:502434766","7H:502434859","7H:502564737"
"7H:500749700",1,0.932653231417935,0.213680583950449,0.554513795866736,4.68548039638087e-05,0.213680583950449,0.00390767933417661,0.0839932470215239,0.26694956929999,0.26694956929999,0.475165145161432,0.000934906878111747,0.0809348877401616,0.0202703649953631,0.0828832601497844,0.262540616713244,0.268427564234783,0.00632594133176051,0.201644708844431,0.200924352417093,0.0593181818181818,0.0593181818181818,0.0593181818181818,0.0781184896954451,0.00750908269874176,0.0593181818181818,0.0091905173222564,0.0822318727172563,0.0477465637810465
"7H:500751207",0.932653231417935,1,0.235318673882238,0.512390421700973,0.0030837952839633,0.235318673882238,0.00776884976630031,0.0817663767190705,0.293563134805272,0.293563134805272,0.442258763941345,0.000132900491200215,0.0958941411768825,0.0249192790707595,0.0742713708304358,0.234724617367729,0.240332512579291,0.0116810682491238,0.216152319153934,0.214921661455724,0.0651358597421376,0.0651358597421376,0.0651358597421376,0.087679659224791,0.0143263818846041,0.0651358597421376,0.0125353919448437,0.0924609924225916,0.029660663471966
"7H:500831343",0.213680583950449,0.235318673882238,1,0.391759197209478,0.428369501953937,1,0.445983379501385,0.610517178362573,0.83443746506748,0.83443746506748,0.223940884799245,0.000578492266471806,0.0394441529472201,0.275427026128593,0.0223842992421758,0.352427922576501,0.343662429396081,0.0202357697569197,0.00600944060281783,0.00790510734334301,0.159422560023246,0.159422560023246,0.159422560023246,0.0999557620992571,0.0175964861351844,0.159422560023246,0.0848474160228948,0.0730845741833297,0.118301606859959
"7H:500832046",0.554513795866736,0.512390421700973,0.391759197209478,1,0.00355733970505637,0.391759197209478,0.00127085588604224,0.0733157028210786,0.234866704939959,0.234866704939959,0.528950946512702,0.00564671314167195,0.00577288807484118,0.0907120786304912,0.119944787145535,0.275277114151986,0.28158849308677,0.00481944839292043,0.0784125262530432,0.0772571138735254,0.0413197845249755,0.0413197845249755,0.0413197845249755,0.0551495726633683,0.00461503836016248,0.0413197845249755,0.00421880448658664,0.0594068064465356,0.048580325975037
"7H:500832834",4.68548039638087e-05,0.0030837952839633,0.428369501953937,0.00355733970505637,1,0.428369501953937,0.545034089964247,0.640245389882992,0.523645243274751,0.523645243274751,0.0207132628609646,7.84081405073876e-05,0.141981744848869,0.140365029746899,0.0208351882317284,0.10865182260285,0.100047367866078,0.0211328425913654,0.00652323004437417,0.00573218404550128,0.0780046652843602,0.0780046652843602,0.0780046652843602,0.0506610352875416,0.0617002068711284,0.0780046652843602,0.0863663375053189,0.0303411429666438,0.0404742374529105
"7H:500956884",0.213680583950449,0.235318673882238,1,0.391759197209478,0.428369501953937,1,0.445983379501385,0.610517178362573,0.83443746506748,0.83443746506748,0.223940884799245,0.000578492266471806,0.0394441529472201,0.275427026128593,0.0223842992421758,0.352427922576501,0.343662429396081,0.0202357697569197,0.00600944060281783,0.00790510734334301,0.159422560023246,0.159422560023246,0.159422560023246,0.0999557620992571,0.0175964861351844,0.159422560023246,0.0848474160228948,0.0730845741833297,0.118301606859959
"7H:500959217",0.00390767933417661,0.00776884976630031,0.445983379501385,0.00127085588604224,0.545034089964247,0.445983379501385,1,0.668465528781794,0.54517670886993,0.54517670886993,0.0395644351336141,0.00793396958609455,0.0394656513077566,0.146136618141097,0.039729486706883,0.166213084025564,0.155966394766547,0.000152261076993351,0.00412851666825527,0.00355128031889737,0.0822368421052631,0.0822368421052631,0.0822368421052631,0.0560321232657561,0.0865131331376533,0.0822368421052631,0.0913041116723698,0.0349283939625685,0.0708642600089968
"7H:501035530",0.0839932470215239,0.0817663767190705,0.610517178362573,0.0733157028210786,0.640245389882992,0.610517178362573,0.668465528781794,1,0.746305268999895,0.746305268999895,0.050159100700598,0.0119600645227971,0.0820567371024715,0.156949699016167,0.0559834928671944,0.26490549572161,0.254364318725356,0.000352906321525252,0.00410339557869274,0.00431616549638863,0.0773510709504685,0.0773510709504685,0.0773510709504685,0.109573111717359,0.0609736055590617,0.0773510709504685,0.0915854789125543,0.0834645817329174,0.0608688761456081
"7H:501169699",0.26694956929999,0.293563134805272,0.83443746506748,0.234866704939959,0.523645243274751,0.83443746506748,0.54517670886993,0.746305268999895,1,1.01207996411695,0.267993956003673,0.000608932243215297,0.0146616974921276,0.224719369512251,0.0330006380176896,0.44571623862556,0.434866910693785,0.00476625076651911,0.0332971049945125,0.0356593461799237,0.123677940909395,0.123677940909395,0.123677940909395,0.18637855821289,0.00394917568743797,0.123677940909395,0.0554768656795259,0.150692357514536,0.0854102836151986
"7H:501447228",0.26694956929999,0.293563134805272,0.83443746506748,0.234866704939959,0.523645243274751,0.83443746506748,0.54517670886993,0.746305268999895,1.01207996411695,1,0.267993956003673,0.000608932243215297,0.0146616974921276,0.224719369512251,0.0330006380176896,0.44571623862556,0.434866910693785,0.00476625076651911,0.0332971049945125,0.0356593461799237,0.123677940909395,0.123677940909395,0.123677940909395,0.18637855821289,0.00394917568743797,0.123677940909395,0.0554768656795259,0.150692357514536,0.0854102836151986
"7H:501448101",0.475165145161432,0.442258763941345,0.223940884799245,0.528950946512702,0.0207132628609646,0.223940884799245,0.0395644351336141,0.050159100700598,0.267993956003673,0.267993956003673,1,0.000518192280012867,0.0871331777210648,0.07337933446012,0.249662645774652,0.358607822346485,0.337348963504912,0.00374627533583073,0.111699500818689,0.113469752048479,0.0101588487342843,0.0101588487342843,0.0101588487342843,0.107322676725104,0.0476971482285901,0.0101588487342843,0.00613648752646817,0.108486211649239,0.0131732449768194
"7H:501488408",0.000934906878111747,0.000132900491200215,0.000578492266471806,0.00564671314167195,7.84081405073876e-05,0.000578492266471806,0.00793396958609455,0.0119600645227971,0.000608932243215297,0.000608932243215297,0.000518192280012867,1,0.00091258222746112,7.19289916993947e-06,0.00512977986900724,0.000149772290646998,4.65420209290158e-05,0.000226898859833229,0.000690880378997236,0.0017131692214755,0.000306372549019608,0.000306372549019608,0.000306372549019608,0.00769223312264919,0.0164362058889937,0.000306372549019608,0.00291385904206884,0.00933230318802863,0.00199142156862745
